addr	size	name	string_hints
0003a6d8	144	FUN_0003a6d8	s_In:_000787a1,s_No_input_devices_available!_000787a9,s_Out:_000787c6,s_No_output_devices_available!_000787ce
0003a868	96	FUN_0003a868	
0003a9b0	728	FUN_0003a9b0	
0003abd8	1488	FUN_0003abd8	
0003b1b0	208	FUN_0003b1b0	
0003b744	268	FUN_0003b744	
0003b92c	28	FUN_0003b92c	
0003b95c	72	FUN_0003b95c	s_backlight=30_00071f77
0003b98c	160	FUN_0003b98c	s_***_Warning_-_%s,_using_default_e_00078811,s_Using_default_environment_0007883f,s_backlight=30_00071f77,s_ERROR:_Environment_import_failed_0007885b
0003bbac	180	FUN_0003bbac	
0003bc64	272	FUN_0003bc64	s_env_nand.c_00078937,s_ERROR:_Cannot_export_environment_000788fa,s_saveenv_00071fdb,s_Erasing_Nand..._00078942
0003bea4	312	FUN_0003bea4	
0003c024	8	FUN_0003c024	
0003c02c	8	FUN_0003c02c	
0003c034	32	FUN_0003c034	
0003c058	80	FUN_0003c058	
0003c0a8	60	FUN_0003c0a8	
0003c0e4	28	FUN_0003c0e4	
0003c100	136	FUN_0003c100	
0003c188	40	FUN_0003c188	
0003c1b0	36	FUN_0003c1b0	s_bootm_low_0007898d
0003c1d8	84	FUN_0003c1d8	s_bootm_size_00078997,s_bootm_low_0007898d
0003c270	40	FUN_0003c270	s_%d_Bytes_=_000789b0,s__0007d8d9+0x17
0003c2cc	60	FUN_0003c2cc	s_Invalid_OS_00078db1,s_Linux_00078dc2,s_Unknown_OS_000789bc
0003c2e4	16	FUN_0003c2e4	
0003c2fc	16	FUN_0003c2fc	
0003c314	16	FUN_0003c314	
0003c32c	340	FUN_0003c32c	s_%sImage_Name:_%.*s_000789fe,s_%sImage_Type:_00078a14,s_%s_%s_%s_(%s)_00078a25,s_%sData_Size:_00078a34
0003c554	20	FUN_0003c554	
0003c574	516	FUN_0003c574	s_##_Loading_init_Ramdisk_from_mul_00078b6d,s_##_Loading_init_Ramdisk_from_Leg_00078aaa,s_Bad_Magic_Number_00078ae2,s_Bad_Header_Checksum_00078af4
0003c7a0	200	FUN_0003c7a0	
0003c870	4	FUN_0003c870	
0003c874	472	FUN_0003c874	s__0007534c+0x23
0003ca58	16	FUN_0003ca58	
0003ca6c	132	FUN_0003ca6c	s_**_Too_many_args_(max._%d)_**_00078f0c
0003caf4	832	FUN_0003caf4	s_##_Command_too_long!_00078f2b
0003ce38	24	FUN_0003ce38	
0003d0c8	88	FUN_0003d0c8	
0003d124	72	FUN_0003d124	
0003d16c	56	FUN_0003d16c	
0003d230	112	FUN_0003d230	
0003d2a0	76	FUN_0003d2a0	
0003d2d4	28	FUN_0003d2d4	
0003d2f4	4	thunk_FUN_00054088	
0003d2f8	208	FUN_0003d2f8	
0003d3cc	92	FUN_0003d3cc	
0003d428	116	FUN_0003d428	
0003d49c	260	FUN_0003d49c	
0003d5a4	116	FUN_0003d5a4	
0003d618	28	FUN_0003d618	
0003d634	148	FUN_0003d634	
0003d6c8	152	FUN_0003d6c8	s_unable_to_get_descriptor,_error_%_00078f8f,s_config_descriptor_too_short_(exp_00078fb4
0003d8c8	100	FUN_0003d8c8	
0003d92c	100	FUN_0003d92c	
0003d990	256	FUN_0003d990	
0003da90	40	FUN_0003da90	
0003dabc	140	FUN_0003dabc	s_ERROR,_too_many_USB_Devices,_max_00079006
0003db54	1164	FUN_0003db54	s_usb_new_device:cannot_locate_dev_0007902b,s_Couldn't_reset_port_%i_00079058,s_USB_device_not_accepting_new_add_00079076,s_unable_to_get_device_descriptor_(_000790af
0003e0f8	84	FUN_0003e0f8	
0003e14c	76	FUN_0003e14c	
0003e198	84	FUN_0003e198	
0003e1ec	84	FUN_0003e1ec	
0003e240	88	FUN_0003e240	
0003e298	16	FUN_0003e298	
0003e2ac	172	FUN_0003e2ac	
0003e358	264	FUN_0003e358	s_cannot_reset_port_%i!?_00079198
